Lag,Correlation_Coefficient,P_Value
1,-0.10217580163522691,0.09823925641154599
2,0.09663807562709838,0.11866566423902884
3,0.24429678579169462,6.652350484503274e-05
4,0.2652839449724476,1.4583690674812653e-05
5,0.1502686664116934,0.015503148007261006
6,0.02188108969017362,0.7264906007092553
